room_id,building,room_no,occupancy,sq_footage,res_college,taken
3064,H,A311B,1,146,Yeh College,false
3008,GROUSBECK,C117,4,554,Yeh College,false
3020,GROUSBECK,C217,4,441,Yeh College,false
3021,GROUSBECK,C218A,1,141,Yeh College,false
2994,BOSQUE,B504,4,473,Yeh College,false
2995,BOSQUE,B509A,1,158,Yeh College,false
3018,GROUSBECK,C214,4,471,Yeh College,false
2991,BOSQUE,B422,1,131,Yeh College,false
2990,BOSQUE,B421,1,151,Yeh College,false
2959,BOSQUE,B122,2,280,Yeh College,false
3003,GROUSBECK,C102B,1,146,Yeh College,false
2999,BOSQUE,B513,1,131,Yeh College,false
3094,MANNION,D513,4,484,Yeh College,false
3035,GROUSBECK,C304,1,149,Yeh College,false
3077,H,A614,1,149,Yeh College,false
3058,GROUSBECK,C517,2,301,Yeh College,false
3044,GROUSBECK,C405A,1,157,Yeh College,false
2989,BOSQUE,B419,1,146,Yeh College,false
3073,H,A604,1,152,Yeh College,false
3036,GROUSBECK,C305A,1,157,Yeh College,false
3090,MANNION,D505,4,453,Yeh College,false
3046,GROUSBECK,C417,1,132,Yeh College,false
2958,BOSQUE,B121,1,130,Yeh College,false
2979,BOSQUE,B332,1,151,Yeh College,false
3068,H,A419,1,153,Yeh College,false
3007,GROUSBECK,C105A,1,157,Yeh College,false
3017,GROUSBECK,C212,1,137,Yeh College,false
3042,GROUSBECK,C403,1,151,Yeh College,false
3002,GROUSBECK,C102A,1,142,Yeh College,false
3009,GROUSBECK,C202A,1,142,Yeh College,false
3088,MANNION,D410,4,723,Yeh College,false
2960,BOSQUE,B217,2,340,Yeh College,false
2977,BOSQUE,B329B,1,158,Yeh College,false
2951,BOSQUE,B029,1,149,Yeh College,false
3000,BOSQUE,B515,4,533,Yeh College,false
2947,BOSQUE,B022,1,136,Yeh College,false
3004,GROUSBECK,C103,1,150,Yeh College,false
3010,GROUSBECK,C202B,1,146,Yeh College,false
2956,BOSQUE,B119,1,140,Yeh College,false
3080,MANNION,D115,2,338,Yeh College,false
3014,GROUSBECK,C205B,1,159,Yeh College,false
2950,BOSQUE,B028,1,153,Yeh College,false
3011,GROUSBECK,C203,1,150,Yeh College,false
2965,BOSQUE,B231,1,151,Yeh College,false
3047,GROUSBECK,C418,4,733,Yeh College,false
2993,BOSQUE,B503,2,274,Yeh College,false
2978,BOSQUE,B330,1,146,Yeh College,false
2954,BOSQUE,B116,1,136,Yeh College,false
2968,BOSQUE,B235,4,454,Yeh College,false
3051,GROUSBECK,C504,1,149,Yeh College,false
3028,GROUSBECK,C231,1,150,Yeh College,false
3067,H,A417,1,158,Yeh College,false
3086,MANNION,D312,2,337,Yeh College,false
3023,GROUSBECK,C224,4,482,Yeh College,false
2948,BOSQUE,B024,1,140,Yeh College,false
3074,H,A605,1,150,Yeh College,false
3039,GROUSBECK,C318,4,733,Yeh College,false
3087,MANNION,D314,1,161,Yeh College,false
3082,MANNION,D203,4,783,Yeh College,false
3066,H,A416,2,245,Yeh College,false
3029,GROUSBECK,C232,1,152,Yeh College,false
2986,BOSQUE,B406,1,157,Yeh College,false
3075,H,A606,1,151,Yeh College,false
2973,BOSQUE,B314A,1,158,Yeh College,false
2982,BOSQUE,B336,4,454,Yeh College,false
3022,GROUSBECK,C218B,1,140,Yeh College,false
2975,BOSQUE,B324,4,473,Yeh College,false
3093,MANNION,D509,4,724,Yeh College,false
3055,GROUSBECK,C510,4,441,Yeh College,false
3005,GROUSBECK,C104,1,149,Yeh College,false
3041,GROUSBECK,C402B,1,146,Yeh College,false
3019,GROUSBECK,C216,4,561,Yeh College,false
2963,BOSQUE,B228B,1,158,Yeh College,false
2949,BOSQUE,B025,1,148,Yeh College,false
2953,BOSQUE,B115,1,154,Yeh College,false
2996,BOSQUE,B509B,1,158,Yeh College,false
3032,GROUSBECK,C302A,1,142,Yeh College,false
3048,GROUSBECK,C501,4,484,Yeh College,false
3034,GROUSBECK,C303,1,151,Yeh College,false
2966,BOSQUE,B232,1,131,Yeh College,false
3059,H,A303,2,302,Yeh College,false
2984,BOSQUE,B405A,1,177,Yeh College,false
3054,GROUSBECK,C506B,1,158,Yeh College,false
2972,BOSQUE,B310,2,244,Yeh College,false
3065,H,A410A,1,240,Yeh College,false
3062,H,A308,1,151,Yeh College,false
3001,BOSQUE,B516,4,454,Yeh College,false
3053,GROUSBECK,C506A,1,159,Yeh College,false
3091,MANNION,D506,4,453,Yeh College,false
2992,BOSQUE,B424,4,533,Yeh College,false
3006,GROUSBECK,C105,1,254,Yeh College,false
3069,H,A517,1,157,Yeh College,false
2980,BOSQUE,B333,1,131,Yeh College,false
3015,GROUSBECK,C210,4,441,Yeh College,false
3084,MANNION,D303,4,786,Yeh College,false
2985,BOSQUE,B405B,1,164,Yeh College,false
3043,GROUSBECK,C404,1,149,Yeh College,false
3078,H,A615,1,147,Yeh College,false
3038,GROUSBECK,C314,2,250,Yeh College,false
3033,GROUSBECK,C302B,1,146,Yeh College,false
3070,H,A519,1,153,Yeh College,false
2988,BOSQUE,B418B,1,158,Yeh College,false
2964,BOSQUE,B229,1,146,Yeh College,false
3027,GROUSBECK,C229,1,152,Yeh College,false
2976,BOSQUE,B329A,1,158,Yeh College,false
